단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A15072201,600,7,미설치,설치,0,12,,입주민전용,시 분,1시 1분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|12|플러그링크|,0,12,없음
A15076301,510,10,설치,미설치,13,0,,,1시 0분,시 분,23시 50분,시 분,"◆1◆|지상|벽부형충전기|DC콤보 7핀|완속|13|파워큐브,에버온,차지비|",13,0,있음
A15076302,5,5,미설치,설치,0,1,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|1|개인|,0,1,없음
A15076702,1176,20,미설치,설치,0,29,입주민전용,입주민전용,시 분,0시 5분,시 분,23시 55분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|1|한전|,◆2◆|지하|이동형충전기|AC단상 5핀|완속|25|홈앤서비스|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|3|한전|",0,29,없음
A15080002,500,20,미설치,설치,0,20,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|20|sk홈앤서비스|,0,20,없음
A15080204,344,0,설치,미설치,295,0,외부인허용,,0시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|6|GS차지비|,6,0,있음
A15080205,590,0,설치,설치,0,10,입주민전용,입주민전용,0시 59분,0시 59분,23시 59분,23시 59분,"◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|5|나이스자처|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|5|나이스자처|",5,5,없음
A15080402,155,1,미설치,미설치,0,0,입주민전용,,시 분,시 분,시 분,시 분,,,,없음
A15080501,300,10,설치,미설치,6,0,,,0시 0분,시 분,24시 0분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|6|나이스인프라(주)|,6,0,없음
A15080507,1236,10,설치,미설치,5,0,,,0시 0분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|5|한국전기차충전서비스|,5,0,있음
