시도	시군구	동리	단지코드	단지명	단지분류	법정동주소	도로명주소	분양형태	사용승인일	동수	세대수	분양세대수	임대세대수	관리방식	난방방식	복도유형	시공사	주택관리업자
서울특별시	동대문구	제기동	A13006101	제기한신	아파트	서울특별시 동대문구 제기동 1212 제기한신	서울특별시 동대문구 고산자로 534	분양	20040511	12	1070	1070	0	위탁관리	개별난방	혼합식	한신공영주식회사	(주)케이비아주
서울특별시	동대문구	용두동	A13007001	용두두산위브	아파트	서울특별시 동대문구 용두동 791 용두두산위브	서울특별시 동대문구 정릉천동로 16	분양	20090618	6	338	338	0	위탁관리	개별난방	계단식	두산건설	국제경보산업
서울특별시	동대문구	용두동	A13007002	용두롯데캐슬피렌체	주상복합	서울특별시 동대문구 용두동 790 용두롯데캐슬피렌체	서울특별시 동대문구 정릉천동로 58	분양	20090205	4	435	435	0	위탁관리	개별난방	혼합식	롯데건설	광인산업(주)
서울특별시	동대문구	용두동	A13007004	용두신동아	아파트	서울특별시 동대문구 용두동 779 용두신동아	서울특별시 동대문구 무학로26길 30	분양	19941014	5	772	772	0	위탁관리	개별난방	혼합식	신동아건설	(주)경진관리
서울특별시	동대문구	이문동	A13008001	신이문금호어울림	아파트	서울특별시 동대문구 이문동 428 신이문금호어울림	서울특별시 동대문구 신이문로 9	혼합	20081010	4	166	153	13	위탁관리	개별난방	계단식	금호산업	서림주택관리(주)
서울특별시	동대문구	휘경동	A13009001	휘경동양1.2차	아파트	"서울특별시 동대문구 휘경동 115,서울특별시 동대문구 휘경동 117 휘경동양1.2차"	"서울특별시 동대문구 망우로 135,서울특별시 동대문구 외대역동로 36"	분양	20000527	4	490	490	0	위탁관리	개별난방	혼합식	동양메이져(주)	(주)동우개발
서울특별시	동대문구	휘경동	A13009002	휘경주공1단지	아파트	서울특별시 동대문구 휘경동 57 휘경주공1단지	서울특별시 동대문구 한천로 248	분양	20011115	13	2224	2224	0	위탁관리	개별난방	계단식	대한주택공사	인덕종합관리(주)
서울특별시	동대문구	휘경동	A13009003	브라운스톤휘경	아파트	서울특별시 동대문구 휘경동 368 브라운스톤휘경	서울특별시 동대문구 망우로20길 86	혼합	20131025	8	451	373	78	위탁관리	개별난방	계단식	이수건설	세화종합관리(주)
서울특별시	동대문구	휘경동	A13009101	휘경롯데낙천대	아파트	서울특별시 동대문구 휘경동 109 휘경롯데낙천대	서울특별시 동대문구 외대역동로1길 24	분양	20030715	2	239	239	0	위탁관리	개별난방	계단식	(주)롯데건설	율산개발(주)
서울특별시	동대문구	휘경동	A13009202	휘경동일하이빌	아파트	서울특별시 동대문구 휘경동 365 휘경동일하이빌	서울특별시 동대문구 장안벚꽃로5길 10	분양	20051005	7	216	216	0	위탁관리	개별난방	계단식	(주)동일토건	세화종합관리(주)
서울특별시	동대문구	휘경동	A13009206	휘경동일스위트리버	아파트	서울특별시 동대문구 휘경동 366 휘경동일스위트리버	서울특별시 동대문구 한천로 300	분양	20070518	9	454	454	0	위탁관리	개별난방	계단식	(주)동일	한국주택시설관리(주)
서울특별시	동대문구	장안동	A13010001	장안2차현대홈타운	아파트	서울특별시 동대문구 장안동 569 장안2차현대홈타운	서울특별시 동대문구 장한로26다길 84	분양	20051220	3	193	193	0	위탁관리	개별난방	계단식	현대건설	주식회사 동우개발
서울특별시	동대문구	장안동	A13010002	장안삼성쉐르빌	주상복합	서울특별시 동대문구 장안동 371-1 장안삼성쉐르빌	서울특별시 동대문구 장한로 119	분양	20020805	1	254	254	0	위탁관리	개별난방	계단식	삼성중공업	(주)한빛관리
서울특별시	동대문구	장안동	A13010003	장안현대	아파트	서울특별시 동대문구 장안동 95-1 장안현대	서울특별시 동대문구 한천로 224	분양	19840630	8	456	456	0	위탁관리	중앙난방	계단식	현대건설	서림주택관리(주)
서울특별시	동대문구	장안동	A13010004	장안현대힐스테이트	아파트	서울특별시 동대문구 장안동 329-2 장안현대힐스테이트	서울특별시 동대문구 장안벚꽃로1길 7	분양	20070804	11	859	859	0	위탁관리	개별난방	계단식	현대건설	세화종합관리(주)
서울특별시	동대문구	장안동	A13010005	래미안장안2차	아파트	서울특별시 동대문구 장안동 329-3 래미안장안2차	서울특별시 동대문구 장안벚꽃로 167	분양	20070628	24	1786	1786	0	위탁관리	개별난방	계단식	삼성물산	주식회사 동우개발
