시군구,동리,단지코드,단지명,단지분류,도로명주소,분양형태,사용승인일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형
성동구,행당동,A13386702,서울숲한신더휴아파트,아파트,서울특별시 성동구 고산자로 164,분양,20031223,19,1410,1410,0,위탁관리,개별난방,계단식
성동구,성수동1가,A13392307,강변건영,아파트,서울특별시 성동구 왕십리로 36,분양,20020219,6,580,580,0,위탁관리,개별난방,계단식
강남구,논현동,A13501006,아크로힐스논현,주상복합,서울특별시 강남구 언주로 604,혼합,20141208,4,368,334,34,위탁관리,지역난방,기타
강남구,삼성동,A13550701,삼성동중앙하이츠빌리지,아파트,서울특별시 강남구 학동로68길 30,분양,20041229,5,298,298,0,위탁관리,지역난방,계단식
강남구,역삼동,A13591402,역삼금호어울림,아파트,서울특별시 강남구 도곡로7길 22,분양,20031202,3,183,183,0,위탁관리,개별난방,계단식
성북구,정릉동,A13610005,정릉힐스테이트3차,아파트,서울특별시 성북구 보국문로 116,분양,20080609,19,522,522,0,위탁관리,개별난방,계단식
성북구,하월곡동,A13613009,꿈의숲푸르지오,아파트,서울특별시 성북구 오패산로16가길 40,분양,20100429,15,714,714,0,위탁관리,개별난방,계단식
성북구,삼선동3가,A13670801,삼선SKView,아파트,서울특별시 성북구 삼선교로16길 35,분양,20120430,7,430,430,0,위탁관리,개별난방,계단식
송파구,마천동,A13812005,송파파크데일2단지,아파트,서울특별시 송파구 성내천로47길 38,혼합,20110127,13,13,6,7,위탁관리,개별난방,혼합식
송파구,오금동,A13813008,오금대림,아파트,"서울특별시 송파구 위례성대로 176,서울특별시 송파구 마천로7길 4",분양,19881210,7,749,749,0,위탁관리,지역난방,계단식
송파구,문정동,A13820005,문정건영,아파트,서울특별시 송파구 새말로8길 12,분양,19961010,5,545,545,0,위탁관리,지역난방,계단식
노원구,월계동,A13905302,성원(사슴4),아파트,서울특별시 노원구 마들로3길 37,분양,19950612,6,713,713,0,위탁관리,지역난방,복도식
노원구,중계동,A13922110,중계양지대림2차,아파트,서울특별시 노원구 덕릉로73길 28,분양,19990211,8,652,652,0,위탁관리,지역난방,혼합식
노원구,중계동,A13922111,중계주공8단지,아파트,서울특별시 노원구 한글비석로5길 62,분양,19930331,6,696,696,0,위탁관리,지역난방,복도식
노원구,공릉동,A13980004,청솔아파트8,아파트,서울특별시 노원구 노원로1가길 10,분양,20001125,6,278,278,0,위탁관리,지역난방,계단식
노원구,공릉동,A13980102,공릉신원,아파트,서울특별시 노원구 동일로192나길 26,분양,20000214,1,153,153,0,위탁관리,개별난방,복도식
노원구,공릉동,A13980108,공릉우성,아파트,서울특별시 노원구 동일로198길 24,분양,19951230,3,363,363,0,위탁관리,개별난방,혼합식
노원구,중계동,A13986207,중계양지대림1-2임대,아파트,서울특별시 노원구 덕릉로73길 31,임대,19990204,2,468,0,468,위탁관리,지역난방,복도식
노원구,중계동,A13986606,중계성원1차,아파트,서울특별시 노원구 덕릉로71길 5,분양,19960118,3,402,402,0,위탁관리,개별난방,계단식
노원구,상계동,A13989702,상계동아불암임대,아파트,서울특별시 노원구 덕릉로112길 13,임대,19991125,1,434,0,434,위탁관리,개별난방,복도식
용산구,동자동,A14070901,동부센트레빌아스테리움서울,주상복합,서울특별시 용산구 한강대로 372,분양,20130909,3,278,278,0,위탁관리,중앙난방,계단식
강북구,번동,A14206306,번동신원,아파트,서울특별시 강북구 월계로37길 87-9,분양,20000608,3,285,285,0,위탁관리,개별난방,복도식
영등포구,당산동2가,A15004201,당산동대우,아파트,서울특별시 영등포구 영등포로 106,분양,19990126,2,536,536,0,위탁관리,중앙난방,혼합식
구로구,구로동,A15288004,구로현대,아파트,서울특별시 구로구 디지털로 319,분양,19920518,5,591,591,0,위탁관리,개별난방,복도식
강서구,염창동,A15786314,염창태영송화,아파트,서울특별시 강서구 공항대로61길 60,분양,19991111,4,277,277,0,위탁관리,개별난방,혼합식
양천구,신월동,A15809403,신월대성유니드,아파트,서울특별시 양천구 신월로15길 25,분양,20041216,5,283,283,0,위탁관리,개별난방,계단식
은평구,진관동,A41279905,은평뉴타운상림마을4단지,아파트,서울특별시 은평구 진관4로 77,혼합,20080514,4,241,164,77,위탁관리,지역난방,혼합식
서대문구,남가좌동,A12072801,DMC센트레빌,아파트,서울특별시 서대문구 거북골로 120,혼합,20090602,7,473,373,100,위탁관리,지역난방,계단식
노원구,중계동,A13922406,중계주공4단지,아파트,서울특별시 노원구 덕릉로76길 29,분양,19910914,5,690,690,0,위탁관리,지역난방,혼합식
서대문구,홍제동,A12009302,인왕산벽산아파트,아파트,서울특별시 서대문구 세무서길 106-12,분양,20030620,2,236,236,0,위탁관리,개별난방,계단식
중랑구,묵동,A13184804,묵동신도1차,아파트,서울특별시 중랑구 공릉로13길 30,분양,19981015,2,221,221,0,위탁관리,개별난방,혼합식
노원구,공릉동,A13980513,공릉풍림아이원,아파트,"서울특별시 노원구 섬밭로 139,서울특별시 노원구 섬밭로 134",분양,20010917,14,1601,1601,0,위탁관리,개별난방,계단식
