단지코드,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체
A13286105,자치관리,5,위탁관리,6,태영그린,위탁관리,3,진성관리(주),음식물쓰레기종량제,위탁관리,나라개발시스템
A13286106,위탁관리,5,위탁관리,6,예주산업(주),위탁관리,4,(유)화이트시스템,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A13286107,위탁관리,6,위탁관리,8,혜진종합관리,위탁관리,6,,차량수거방식,위탁관리,
A13286109,위탁관리,6,위탁관리,12,주식회사 굿모닝대양,위탁관리,6,에이스시설관리(주),음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A13286110,위탁관리,10,위탁관리,24,(주)가온종합관리,위탁관리,10,(주)대온관리,차량수거방식,위탁관리,(주)지산아이앤씨
A13286203,자치관리,2,자치관리,4,,자치관리,2,,음식물쓰레기종량제,위탁관리,
A13286304,위탁관리,11,위탁관리,28,(주) 동익,위탁관리,12,대신관리(주),음식물쓰레기종량제,위탁관리,(주)에스앤산업
A13286904,위탁관리,5,위탁관리,6,(주)혜진종합관리,위탁관리(직영+위탁),4,(주)동우개발,음식물쓰레기종량제,위탁관리,(주)휘성
A13287503,위탁관리,5,위탁관리,8,혜진종합관리,위탁관리,4,주원그린,음식물쓰레기종량제,위탁관리,21세기매니지먼트
A13287801,위탁관리,4,위탁관리,5,(주)혜진종합관리,위탁관리,2,(주sj듀웰,거점장비수거방식,위탁관리,나라개발
A13290003,위탁관리,8,위탁관리,7,(주)한국보안컬설팅,위탁관리,6,(주)에코그린티엠,음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A13290105,위탁관리,10,위탁관리,8,(주)백송종합관리,위탁관리,6,에코그린,음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A13290107,위탁관리,14,위탁관리,32,예주산업,위탁관리,18,인동종합관리(주),차량수거방식,위탁관리,(주)동명환경
A13290404,위탁관리,4,위탁관리,4,(주)듀델코리아,위탁관리,4,(주)에스제이두웰,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A13290809,위탁관리,6,위탁관리,14,주식회사 동익,위탁관리,6,,음식물쓰레기종량제,위탁관리,
A13292002,위탁관리,4,위탁관리,3,남광개발,위탁관리,2,남광개발,음식물쓰레기종량제,위탁관리,덕정
A13292501,위탁관리,2,위탁관리,3,주)덕우,자치관리,2,,음식물쓰레기종량제,위탁관리,(주)21세기매니지먼트
A13292701,위탁관리,3,자치관리,4,,자치관리,2,,,위탁관리,
A13293505,위탁관리,5,위탁관리,4,(주)혜진종합관리,위탁관리,6,태영건물종합관리(주),차량수거방식,위탁관리,(주)태은환경
A13295201,위탁관리,2,위탁관리,2,(주)혜진종합관리,위탁관리,2,주원그린,음식물쓰레기종량제,위탁관리,21세기매니지먼트
A13302001,위탁관리,8,위탁관리,10,피누스인앤씨(주),위탁관리,9,,음식물쓰레기종량제,위탁관리,
A13302201,위탁관리,3,위탁관리,2,무림하우징,위탁관리,3,무림하우징,음식물쓰레기종량제,위탁관리,대양환경공사
A13302203,자치관리,5,위탁관리,8,인덕종합관리,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A13302204,자치관리,5,위탁관리,8,태영건물종합관리(주),위탁관리,5,진성관리,음식물쓰레기종량제,위탁관리,굿에어테크
A13302206,위탁관리,6,위탁관리,10,주식회사 경진이앤지,위탁관리,9,(유)굿모닝대양,차량수거방식,위탁관리,(주)진도프로인
A13305002,위탁관리,4,위탁관리,4,(주)신현대관리,위탁관리,2,신현대관리(주),음식물쓰레기종량제,위탁관리,은광서비스
A13305003,위탁관리,4,위탁관리,4,신현대관리,위탁관리,2,주식회사 에코그린티엠,음식물쓰레기종량제,위탁관리,티멘크린(주)
A13305005,위탁관리,5,위탁관리,2,원앤원산업개발(주),위탁관리,2,원앤원산업개발(주),음식물쓰레기종량제,위탁관리,이수환경공사
A13305006,위탁관리,5,위탁관리,8,(주)홈스웰,위탁관리,4,티엔크린(주),음식물쓰레기종량제,위탁관리,티엔크린(주)
A13305007,위탁관리,10,위탁관리,10,(주)신현대관리,위탁관리,8,아이원서비스,음식물쓰레기종량제,위탁관리,태은환경
A13307001,위탁관리,4,위탁관리,3,신현대관리,위탁관리,2,(주)신현대관리,음식물쓰레기종량제,위탁관리,(주)The 자람
A13307002,위탁관리,5,위탁관리,8,태영건물종합관리(주),위탁관리,6,태영건물종합관리(주),음식물쓰레기종량제,위탁관리,(주)태양지앤씨
A13307003,위탁관리,9,위탁관리,10,(주)에스원,위탁관리,10,한강TS,음식물쓰레기종량제,위탁관리,와이브이시스템
A13307101,위탁관리,5,위탁관리,12,주식회사 경진이앤지,위탁관리,4,(유)우원티엠,차량수거방식,위탁관리,(유)우원티엠
A13307201,위탁관리,3,위탁관리,2,서일개발,위탁관리,2,서일개발,,위탁관리,새롬에스앤씨(주)
A13307202,위탁관리,5,위탁관리,12,경진이앤지,위탁관리,6,(유)원광,거점장비수거방식,위탁관리,(주)태강티엠에스
A13307204,위탁관리,18,위탁관리,34,한국보안컨설팅(주),위탁관리,22,(주)더지엠에스,차량수거방식,위탁관리,동명환경
A13308004,위탁관리,6,위탁관리,17,(주)국제안전시스텤,위탁관리,5,인동,음식물쓰레기종량제,위탁관리,휘성
A13308005,위탁관리,14,위탁관리,15,(유)와이번스,위탁관리,11,와이번스,차량수거방식,위탁관리,우원티엠
A13309101,위탁관리,2,위탁관리,3,홈스웰주식회사,위탁관리,2,서일개발,음식물쓰레기종량제,위탁관리,강동에코텍
A13309102,자치관리,6,자치관리,8,,자치관리,5,,차량수거방식,위탁관리,
A13309103,위탁관리,8,위탁관리,8,(주)융성종합관리,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A13309301,위탁관리,4,위탁관리,6,코리아이지텔(주),위탁관리,3,주식회사 인동,차량수거방식,위탁관리,(주)와이브이시스템
A13309402,위탁관리,4,위탁관리,4,(주)우원티앰,위탁관리,2,(주)청아시스템,음식물쓰레기종량제,위탁관리,(주)피누스이앤씨
A13309404,위탁관리,10,위탁관리,14,주식회사 승학,위탁관리,12,승인산업 주식회사,거점장비수거방식,위탁관리,주식회사 비전개발
A13310004,위탁관리,16,위탁관리,22,아주관리(주),위탁관리,8,(주)효명,음식물쓰레기종량제,위탁관리,(유)굿모닝대양
A13311101,위탁관리,2,위탁관리,3,국보종합관리,위탁관리,2,,음식물쓰레기종량제,위탁관리,
A13312101,위탁관리,3,위탁관리,2,웅산산업개발,자치관리,2,,차량수거방식,위탁관리,나라개발
A13312302,위탁관리,7,위탁관리,9,한국보안컨설팅(주),위탁관리,7,홈스웰,음식물쓰레기종량제,위탁관리,청정티엠에스
