단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A13980108,철근콘크리트구조,950,단일계약,위탁관리,9,352,64,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",21,0
A13980006,철근콘크리트구조,1300,단일계약,위탁관리,14,343,56,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",12,2
A13980019,프리케스트콘크리트구조,3850,단일계약,위탁관리,28,1239,142,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",15,2
A13980009,철근콘크리트구조,950,단일계약,위탁관리,24,330,81,무,"관리사무소, 노인정, 어린이놀이터",9,0
A13980513,철근콘크리트구조,4945,단일계약,위탁관리,38,2013,352,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",20,1
A13924003,철근콘크리트구조,1550,단일계약,위탁관리,13,630,96,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",20,2
A13980014,철근콘크리트구조,22540,단일계약,위탁관리,19,986,105,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간",15,0
A13974401,철골콘크리트구조,400,단일계약,위탁관리,4,145,32,유,"관리사무소, 노인정, 어린이놀이터, 휴게시설",13,2
A13994501,철근콘크리트구조,750,종합계약,위탁관리,6,176,29,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",21,3
A13980010,철근콘크리트구조,1700,단일계약,위탁관리,22,537,45,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",10,1
A10027622,철근콘크리트구조,1850,종합계약,위탁관리,8,301,94,유,"관리사무소, 어린이놀이터, 커뮤니티공간, 자전거보관소",36,5
A13924004,철근콘크리트구조,2300,단일계약,위탁관리,23,756,161,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",15,1
A10023990,철근콘크리트구조,1750,단일계약,위탁관리,3,109,90,유,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",20,2
A13980004,철근콘크리트구조,1250,종합계약,위탁관리,12,325,71,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,3
A10023991,철근콘크리트구조,4750,종합계약,위탁관리,41,1563,320,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",25,3
A10020049,철골콘크리트구조,900,단일계약,,0,271,77,무,,3,2
A10023478,철근콘크리트구조,900,단일계약,위탁관리,3,51,16,무,"관리사무소, 자전거보관소",19,3
A13980413,철근콘크리트구조,800,단일계약,위탁관리,6,255,8,무,"노인정, 어린이놀이터",19,1
A13980407,철근콘크리트구조,700,단일계약,,0,324,34,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5,1
A13977913,철근콘크리트구조,1050,기타,위탁관리,34,636,98,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",15,0
A13923001,철근콘크리트구조,145,단일계약,,0,206,39,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",4,0
